season,player_name,Tm,Age,Int,PD,Sk,QBHits,pos,school,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
2017,Paul Posluszny,JAX,33,0,2,1.5,2,OLB,Penn State,74,238,4.7,22,37,116,6.94,4.2
2016,Christian Kirksey,CLE,24,0,3,2.5,7,OLB,Iowa,74,233,4.72,16,32,122,7,4
2017,Christian Kirksey,CLE,25,0,5,3.5,6,OLB,Iowa,74,233,4.72,16,32,122,7,4
2018,Christian Kirksey,CLE,26,2,5,0,0,OLB,Iowa,74,233,4.72,16,32,122,7,4
2019,Christian Kirksey,CLE,27,0,0,0,0,OLB,Iowa,74,233,4.72,16,32,122,7,4
2020,Christian Kirksey,GB,28,2,4,2,2,OLB,Iowa,74,233,4.72,16,32,122,7,4
2021,Christian Kirksey,HOU,29,1,8,0,2,OLB,Iowa,74,233,4.72,16,32,122,7,4
2022,Christian Kirksey,HOU,30,2,5,3,7,OLB,Iowa,74,233,4.72,16,32,122,7,4
2016,Antoine Bethea,SF,32,1,3,0,1,S,Howard,71,203,4.39,19,36.5,127,6.99,4.11
2017,Antoine Bethea,ARI,33,5,9,1,2,S,Howard,71,203,4.39,19,36.5,127,6.99,4.11
2018,Antoine Bethea,ARI,34,0,4,3,6,S,Howard,71,203,4.39,19,36.5,127,6.99,4.11
2019,Antoine Bethea,NYG,35,1,6,0,0,S,Howard,71,203,4.39,19,36.5,127,6.99,4.11
2016,Sean Lee,DAL,30,0,1,0,2,ILB,Penn State,74,236,4.71,24,37.5,120,7,4
2017,Sean Lee,DAL,31,1,1,0,1,ILB,Penn State,74,236,4.71,24,37.5,120,7,4
2018,Sean Lee,DAL,32,0,1,0.5,2,ILB,Penn State,74,236,4.71,24,37.5,120,7,4
2019,Sean Lee,DAL,33,1,4,1,1,ILB,Penn State,74,236,4.71,24,37.5,120,7,4
2020,Sean Lee,DAL,34,0,0,0,1,ILB,Penn State,74,236,4.71,24,37.5,120,7,4
2016,Mark Barron,LAR,27,2,8,1,3,S,Alabama,73,213,4.54,20,,114,7,4
2017,Mark Barron,LAR,28,3,4,1,2,S,Alabama,73,213,4.54,20,,114,7,4
2018,Mark Barron,LAR,29,0,1,1,1,S,Alabama,73,213,4.54,20,,114,7,4
2019,Mark Barron,PIT,30,1,3,3,4,S,Alabama,73,213,4.54,20,,114,7,4
2016,Mason Foster,WAS,27,0,3,1,5,OLB,Washington,73,245,4.75,22,31,110,7.14,4.45
2017,Mason Foster,WAS,28,1,1,0.5,2,OLB,Washington,73,245,4.75,22,31,110,7.14,4.45
2018,Mason Foster,WAS,29,2,4,1,1,OLB,Washington,73,245,4.75,22,31,110,7.14,4.45
2016,Preston Brown,BUF,24,0,1,1,3,ILB,Louisville,73,251,4.86,23,33,116,6.98,4.26
2017,Preston Brown,BUF,25,0,3,0,2,ILB,Louisville,73,251,4.86,23,33,116,6.98,4.26
2018,Preston Brown,CIN,26,2,4,0,0,ILB,Louisville,73,251,4.86,23,33,116,6.98,4.26
2019,Preston Brown,CIN,27,0,0,0,0,ILB,Louisville,73,251,4.86,23,33,116,6.98,4.26
2016,Jamie Collins,CLE,27,2,3,3,8,OLB,Southern Miss,75,250,4.64,19,41.5,139,7.1,4.32
2017,Jamie Collins,CLE,28,1,3,1,2,OLB,Southern Miss,75,250,4.64,19,41.5,139,7.1,4.32
2018,Jamie Collins,CLE,29,1,4,4,7,OLB,Southern Miss,75,250,4.64,19,41.5,139,7.1,4.32
2019,Jamie Collins,NE,30,3,7,7,10,OLB,Southern Miss,75,250,4.64,19,41.5,139,7.1,4.32
2020,Jamie Collins,DET,31,1,6,1,3,OLB,Southern Miss,75,250,4.64,19,41.5,139,7.1,4.32
2021,Jamie Collins,NE,32,1,3,1,3,OLB,Southern Miss,75,250,4.64,19,41.5,139,7.1,4.32
2022,Jamie Collins,NE,33,0,0,0,0,OLB,Southern Miss,75,250,4.64,19,41.5,139,7.1,4.32
2016,Benardrick McKinney,HOU,24,0,2,5,11,ILB,Mississippi State,76,246,4.66,16,40.5,121,7.21,4.27
2017,Benardrick McKinney,HOU,25,0,1,3,8,ILB,Mississippi State,76,246,4.66,16,40.5,121,7.21,4.27
2018,Benardrick McKinney,HOU,26,1,7,1.5,5,ILB,Mississippi State,76,246,4.66,16,40.5,121,7.21,4.27
2019,Benardrick McKinney,HOU,27,0,3,1,4,ILB,Mississippi State,76,246,4.66,16,40.5,121,7.21,4.27
2020,Benardrick McKinney,HOU,28,0,1,0,0,ILB,Mississippi State,76,246,4.66,16,40.5,121,7.21,4.27
2021,Benardrick McKinney,NYG,29,0,0,0,0,ILB,Mississippi State,76,246,4.66,16,40.5,121,7.21,4.27
2016,Tony Jefferson,ARI,24,0,5,2,4,S,Oklahoma,71,213,4.75,16,,114,7,4
2017,Tony Jefferson,BAL,25,1,2,2.5,5,S,Oklahoma,71,213,4.75,16,,114,7,4
2018,Tony Jefferson,BAL,26,1,6,1,2,S,Oklahoma,71,213,4.75,16,,114,7,4
2019,Tony Jefferson,BAL,27,0,3,0,0,S,Oklahoma,71,213,4.75,16,,114,7,4
2021,Tony Jefferson,NYG,29,0,1,1,1,S,Oklahoma,71,213,4.75,16,,114,7,4
2022,Tony Jefferson,NYG,30,0,1,0,0,S,Oklahoma,71,213,4.75,16,,114,7,4
2016,Lawrence Timmons,PIT,30,2,5,2.5,11,OLB,Florida State,73,234,4.66,25,35,123,6.89,4.32
2017,Lawrence Timmons,MIA,31,0,3,0,3,OLB,Florida State,73,234,4.66,25,35,123,6.89,4.32
2016,Deion Jones,ATL,22,3,11,0,2,OLB,LSU,73,222,4.59,20,33,120,7,4
2017,Deion Jones,ATL,23,3,10,1,0,OLB,LSU,73,222,4.59,20,33,120,7,4
2018,Deion Jones,ATL,24,2,6,1,0,OLB,LSU,73,222,4.59,20,33,120,7,4
2019,Deion Jones,ATL,25,1,5,0,4,OLB,LSU,73,222,4.59,20,33,120,7,4
2020,Deion Jones,ATL,26,2,6,4.5,10,OLB,LSU,73,222,4.59,20,33,120,7,4
2021,Deion Jones,ATL,27,0,6,2,4,OLB,LSU,73,222,4.59,20,33,120,7,4
2022,Deion Jones,CLE,28,1,3,2.5,3,OLB,LSU,73,222,4.59,20,33,120,7,4
2016,Logan Ryan,NE,25,2,11,1,3,CB,Rutgers,71,191,4.56,14,32.5,116,6.69,4.06
2017,Logan Ryan,TEN,26,0,11,0,0,CB,Rutgers,71,191,4.56,14,32.5,116,6.69,4.06
2018,Logan Ryan,TEN,27,0,8,4,5,CB,Rutgers,71,191,4.56,14,32.5,116,6.69,4.06
2019,Logan Ryan,TEN,28,4,18,4.5,8,CB,Rutgers,71,191,4.56,14,32.5,116,6.69,4.06
2020,Logan Ryan,NYG,29,1,9,1,4,CB,Rutgers,71,191,4.56,14,32.5,116,6.69,4.06
2021,Logan Ryan,NYG,30,0,8,1,3,CB,Rutgers,71,191,4.56,14,32.5,116,6.69,4.06
2022,Logan Ryan,TB,31,1,3,0,0,CB,Rutgers,71,191,4.56,14,32.5,116,6.69,4.06
2016,Vontaze Burfict,CIN,26,2,8,2,4,ILB,Arizona State,73,248,5,20,30,104,7,4
2017,Vontaze Burfict,CIN,27,0,2,1.5,5,ILB,Arizona State,73,248,5,20,30,104,7,4
2018,Vontaze Burfict,CIN,28,0,3,0,0,ILB,Arizona State,73,248,5,20,30,104,7,4
2019,Vontaze Burfict,LV,29,0,1,0,0,ILB,Arizona State,73,248,5,20,30,104,7,4
2016,Thomas Davis,CAR,33,3,4,2.5,5,S,Georgia,73,230,4.6,20,36.5,115,7.09,3.97
2017,Thomas Davis,CAR,34,0,0,2.5,7,S,Georgia,73,230,4.6,20,36.5,115,7.09,3.97
2018,Thomas Davis,CAR,35,0,6,0,2,S,Georgia,73,230,4.6,20,36.5,115,7.09,3.97
2019,Thomas Davis,LAC,36,0,2,1,2,S,Georgia,73,230,4.6,20,36.5,115,7.09,3.97
2020,Thomas Davis,WAS,37,0,1,0,0,S,Georgia,73,230,4.6,20,36.5,115,7.09,3.97
2016,Byron Jones,DAL,24,1,10,0,0,CB,Connecticut,73,199,4.43,20,44.5,147,6.78,3.94
2017,Byron Jones,DAL,25,1,5,0,2,CB,Connecticut,73,199,4.43,20,44.5,147,6.78,3.94
2018,Byron Jones,DAL,26,0,14,0,0,CB,Connecticut,73,199,4.43,20,44.5,147,6.78,3.94
2019,Byron Jones,DAL,27,0,6,0,0,CB,Connecticut,73,199,4.43,20,44.5,147,6.78,3.94
2020,Byron Jones,MIA,28,2,4,0,0,CB,Connecticut,73,199,4.43,20,44.5,147,6.78,3.94
2021,Byron Jones,MIA,29,0,10,0,0,CB,Connecticut,73,199,4.43,20,44.5,147,6.78,3.94
2016,Avery Williamson,TEN,24,1,1,2,5,ILB,Kentucky,73,246,4.66,25,30.5,120,7.11,4.07
2017,Avery Williamson,TEN,25,0,2,3,4,ILB,Kentucky,73,246,4.66,25,30.5,120,7.11,4.07
2018,Avery Williamson,NYJ,26,1,6,3,4,ILB,Kentucky,73,246,4.66,25,30.5,120,7.11,4.07
2020,Avery Williamson,NYJ,28,1,3,1,2,ILB,Kentucky,73,246,4.66,25,30.5,120,7.11,4.07
2016,Keanu Neal,ATL,21,0,8,0,0,S,Florida,72,211,4.62,17,38,132,7.09,4.38
2017,Keanu Neal,ATL,22,1,6,0,0,S,Florida,72,211,4.62,17,38,132,7.09,4.38
2018,Keanu Neal,ATL,23,0,0,0,0,S,Florida,72,211,4.62,17,38,132,7.09,4.38
2019,Keanu Neal,ATL,24,0,0,0,1,S,Florida,72,211,4.62,17,38,132,7.09,4.38
2020,Keanu Neal,ATL,25,1,2,1,3,S,Florida,72,211,4.62,17,38,132,7.09,4.38
2021,Keanu Neal,DAL,26,0,0,1,2,S,Florida,72,211,4.62,17,38,132,7.09,4.38
2022,Keanu Neal,TB,27,1,4,0.5,5,S,Florida,72,211,4.62,17,38,132,7.09,4.38
2016,K.J. Wright,SEA,27,0,5,4,8,OLB,Mississippi State,75,246,4.71,20,32,120,7.26,4.46
2017,K.J. Wright,SEA,28,1,6,0,2,OLB,Mississippi State,75,246,4.71,20,32,120,7.26,4.46
2018,K.J. Wright,SEA,29,0,3,0,0,OLB,Mississippi State,75,246,4.71,20,32,120,7.26,4.46
2019,K.J. Wright,SEA,30,3,11,0,1,OLB,Mississippi State,75,246,4.71,20,32,120,7.26,4.46
2020,K.J. Wright,SEA,31,1,10,2,3,OLB,Mississippi State,75,246,4.71,20,32,120,7.26,4.46
2021,K.J. Wright,LV,32,0,0,0,0,OLB,Mississippi State,75,246,4.71,20,32,120,7.26,4.46
2016,Luke Kuechly,CAR,25,1,6,2,4,ILB,Boston Col.,75,242,4.58,27,38,123,6.92,4.12
2017,Luke Kuechly,CAR,26,3,6,1.5,5,ILB,Boston Col.,75,242,4.58,27,38,123,6.92,4.12
2018,Luke Kuechly,CAR,27,1,6,2,5,ILB,Boston Col.,75,242,4.58,27,38,123,6.92,4.12
2019,Luke Kuechly,CAR,28,2,12,0,5,ILB,Boston Col.,75,242,4.58,27,38,123,6.92,4.12
2016,Morgan Burnett,GB,27,2,9,3,4,S,Georgia Tech,73,209,4.51,16,,114,7,4
2017,Morgan Burnett,GB,28,0,3,0,1,S,Georgia Tech,73,209,4.51,16,,114,7,4
2018,Morgan Burnett,PIT,29,0,6,0,2,S,Georgia Tech,73,209,4.51,16,,114,7,4
2019,Morgan Burnett,CLE,30,1,2,2,3,S,Georgia Tech,73,209,4.51,16,,114,7,4
2016,Derrick Johnson,KC,34,1,3,1,2,CB,Texas,71,197,4.43,18,,114,7.15,4.1
2016,Derrick Johnson,KC,34,1,3,1,2,OLB,Texas,75,242,4.52,20,37.5,120,7.2,3.87
2017,Derrick Johnson,KC,35,0,7,0,0,CB,Texas,71,197,4.43,18,,114,7.15,4.1
2017,Derrick Johnson,KC,35,0,7,0,0,OLB,Texas,75,242,4.52,20,37.5,120,7.2,3.87
2018,Derrick Johnson,LV,36,0,0,0,0,CB,Texas,71,197,4.43,18,,114,7.15,4.1
2018,Derrick Johnson,LV,36,0,0,0,0,OLB,Texas,75,242,4.52,20,37.5,120,7.2,3.87
2016,Eric Kendricks,MIN,24,1,9,2.5,4,ILB,UCLA,72,232,4.61,19,38,124,7,4
2017,Eric Kendricks,MIN,25,1,6,1,6,ILB,UCLA,72,232,4.61,19,38,124,7,4
2018,Eric Kendricks,MIN,26,2,7,1,1,ILB,UCLA,72,232,4.61,19,38,124,7,4
2019,Eric Kendricks,MIN,27,0,12,0.5,2,ILB,UCLA,72,232,4.61,19,38,124,7,4
2020,Eric Kendricks,MIN,28,3,6,0,1,ILB,UCLA,72,232,4.61,19,38,124,7,4
2021,Eric Kendricks,MIN,29,2,4,5,5,ILB,UCLA,72,232,4.61,19,38,124,7,4
2022,Eric Kendricks,MIN,30,0,6,1,2,ILB,UCLA,72,232,4.61,19,38,124,7,4
2016,Kiko Alonso,MIA,26,2,4,0,6,ILB,Oregon,75,238,4.74,20,,114,7,4
2017,Kiko Alonso,MIA,27,0,1,1,5,ILB,Oregon,75,238,4.74,20,,114,7,4
2018,Kiko Alonso,MIA,28,3,6,0,3,ILB,Oregon,75,238,4.74,20,,114,7,4
2019,Kiko Alonso,NO,29,0,1,0,2,ILB,Oregon,75,238,4.74,20,,114,7,4
2016,Nigel Bradham,PHI,27,1,5,2,3,OLB,Florida State,74,241,4.56,24,37,121,7.18,4.37
2017,Nigel Bradham,PHI,28,0,8,1,3,OLB,Florida State,74,241,4.56,24,37,121,7.18,4.37
2018,Nigel Bradham,PHI,29,0,4,2,4,OLB,Florida State,74,241,4.56,24,37,121,7.18,4.37
2019,Nigel Bradham,PHI,30,1,5,0,1,OLB,Florida State,74,241,4.56,24,37,121,7.18,4.37
2016,Karlos Dansby,CIN,35,0,6,1,2,OLB,Auburn,75,251,4.58,20,,114,7,4
2017,Karlos Dansby,ARI,36,1,4,1,5,OLB,Auburn,75,251,4.58,20,,114,7,4
2016,Harrison Smith,MIN,27,0,2,2,3,S,Notre Dame,74,213,4.54,19,34,122,6.63,4.12
2017,Harrison Smith,MIN,28,5,12,1.5,3,S,Notre Dame,74,213,4.54,19,34,122,6.63,4.12
2018,Harrison Smith,MIN,29,3,6,3,5,S,Notre Dame,74,213,4.54,19,34,122,6.63,4.12
2019,Harrison Smith,MIN,30,3,11,1,2,S,Notre Dame,74,213,4.54,19,34,122,6.63,4.12
2020,Harrison Smith,MIN,31,5,10,0.5,5,S,Notre Dame,74,213,4.54,19,34,122,6.63,4.12
2021,Harrison Smith,MIN,32,1,7,3,5,S,Notre Dame,74,213,4.54,19,34,122,6.63,4.12
2022,Harrison Smith,MIN,33,5,10,0,0,S,Notre Dame,74,213,4.54,19,34,122,6.63,4.12
2016,T.J. Ward,DEN,30,1,8,1,5,S,Oregon,70,211,4.56,19,34,121,7,4
2017,T.J. Ward,TB,31,0,3,0,0,S,Oregon,70,211,4.56,19,34,121,7,4
2016,Vernon Hargreaves III,TB,21,1,9,0,0,CB,Florida,70,204,4.5,15,39,130,7,3.98
2017,Vernon Hargreaves III,TB,22,0,5,0,0,CB,Florida,70,204,4.5,15,39,130,7,3.98
2018,Vernon Hargreaves III,TB,23,0,1,0,0,CB,Florida,70,204,4.5,15,39,130,7,3.98
2019,Vernon Hargreaves III,HOU,24,1,6,0,0,CB,Florida,70,204,4.5,15,39,130,7,3.98
2020,Vernon Hargreaves III,HOU,25,1,7,0,0,CB,Florida,70,204,4.5,15,39,130,7,3.98
2021,Vernon Hargreaves III,HOU,26,1,3,0,0,CB,Florida,70,204,4.5,15,39,130,7,3.98
2016,Lavonte David,TB,26,1,4,5,8,OLB,Nebraska,73,233,4.57,19,36.5,119,7.28,4.22
2017,Lavonte David,TB,27,0,1,0,3,OLB,Nebraska,73,233,4.57,19,36.5,119,7.28,4.22
2018,Lavonte David,TB,28,0,2,3.5,7,OLB,Nebraska,73,233,4.57,19,36.5,119,7.28,4.22
2019,Lavonte David,TB,29,1,7,1,7,OLB,Nebraska,73,233,4.57,19,36.5,119,7.28,4.22
2020,Lavonte David,TB,30,1,6,1.5,3,OLB,Nebraska,73,233,4.57,19,36.5,119,7.28,4.22
2021,Lavonte David,TB,31,0,3,2,4,OLB,Nebraska,73,233,4.57,19,36.5,119,7.28,4.22
2022,Lavonte David,TB,32,0,5,3,3,OLB,Nebraska,73,233,4.57,19,36.5,119,7.28,4.22
2016,Devin McCourty,NE,29,1,7,0,0,CB,Rutgers,71,193,4.38,16,36,126,6.7,4.07
2017,Devin McCourty,NE,30,1,5,1,1,CB,Rutgers,71,193,4.38,16,36,126,6.7,4.07
2018,Devin McCourty,NE,31,1,4,0,0,CB,Rutgers,71,193,4.38,16,36,126,6.7,4.07
2019,Devin McCourty,NE,32,5,7,0,0,CB,Rutgers,71,193,4.38,16,36,126,6.7,4.07
2020,Devin McCourty,NE,33,2,6,0,0,CB,Rutgers,71,193,4.38,16,36,126,6.7,4.07
2021,Devin McCourty,NE,34,3,10,0,0,CB,Rutgers,71,193,4.38,16,36,126,6.7,4.07
2022,Devin McCourty,NE,35,4,8,0,0,CB,Rutgers,71,193,4.38,16,36,126,6.7,4.07
2016,Deone Bucannon,ARI,24,0,4,0,1,S,Washington State,73,211,4.49,19,36.5,125,6.96,4.26
2017,Deone Bucannon,ARI,25,1,3,1,2,S,Washington State,73,211,4.49,19,36.5,125,6.96,4.26
2018,Deone Bucannon,ARI,26,0,0,1,2,S,Washington State,73,211,4.49,19,36.5,125,6.96,4.26
2016,Kurt Coleman,CAR,28,4,7,1,2,S,Ohio State,70,192,4.55,19,,114,7,4
2017,Kurt Coleman,CAR,29,0,3,0,0,S,Ohio State,70,192,4.55,19,,114,7,4
2018,Kurt Coleman,NO,30,0,0,0,0,S,Ohio State,70,192,4.55,19,,114,7,4
2019,Kurt Coleman,BUF,31,0,0,0,0,S,Ohio State,70,192,4.55,19,,114,7,4
2016,David Harris,NYJ,32,0,2,0.5,2,ILB,Michigan,74,243,4.59,23,33,107,7.25,4.29
2017,David Harris,NE,33,0,1,1.5,2,ILB,Michigan,74,243,4.59,23,33,107,7.25,4.29
2016,Daryl Worley,CAR,21,1,9,1,1,CB,West Virginia,73,204,4.64,14,35.5,123,6.98,4.15
2017,Daryl Worley,CAR,22,2,10,1,1,CB,West Virginia,73,204,4.64,14,35.5,123,6.98,4.15
2018,Daryl Worley,LV,23,1,7,0,0,CB,West Virginia,73,204,4.64,14,35.5,123,6.98,4.15
2019,Daryl Worley,LV,24,1,8,0,0,CB,West Virginia,73,204,4.64,14,35.5,123,6.98,4.15
2020,Daryl Worley,BAL,25,0,3,0,0,CB,West Virginia,73,204,4.64,14,35.5,123,6.98,4.15
2021,Daryl Worley,BAL,26,0,0,0,0,CB,West Virginia,73,204,4.64,14,35.5,123,6.98,4.15
2022,Daryl Worley,BAL,27,0,2,0,0,CB,West Virginia,73,204,4.64,14,35.5,123,6.98,4.15
2016,Eric Berry,KC,28,4,9,0,0,S,Tennessee,72,211,4.4,19,43,130,6.8,4.23
2017,Eric Berry,KC,29,0,0,0,0,S,Tennessee,72,211,4.4,19,43,130,6.8,4.23
2018,Eric Berry,KC,30,0,0,0,0,S,Tennessee,72,211,4.4,19,43,130,6.8,4.23
2016,Bashaud Breeland,WAS,24,3,11,1,1,CB,Clemson,71,197,4.62,11,34.5,123,7.04,4.33
2017,Bashaud Breeland,WAS,25,1,19,0,0,CB,Clemson,71,197,4.62,11,34.5,123,7.04,4.33
2018,Bashaud Breeland,GB,26,2,4,0,0,CB,Clemson,71,197,4.62,11,34.5,123,7.04,4.33
2019,Bashaud Breeland,KC,27,2,8,0,1,CB,Clemson,71,197,4.62,11,34.5,123,7.04,4.33
2020,Bashaud Breeland,KC,28,2,9,0,0,CB,Clemson,71,197,4.62,11,34.5,123,7.04,4.33
2021,Bashaud Breeland,MIN,29,2,5,0,0,CB,Clemson,71,197,4.62,11,34.5,123,7.04,4.33
2016,Jonathan Casillas,NYG,29,0,8,1.5,3,OLB,Wisconsin,73,228,4.5,24,,114,7,4
2017,Jonathan Casillas,NYG,30,0,1,0,2,OLB,Wisconsin,73,228,4.5,24,,114,7,4
2016,Ha Ha Clinton-Dix,GB,24,5,7,0.5,1,S,Alabama,73,208,4.58,11,33,119,7.16,4.16
2017,Ha Ha Clinton-Dix,GB,25,3,6,0,0,S,Alabama,73,208,4.58,11,33,119,7.16,4.16
2018,Ha Ha Clinton-Dix,CHI,26,3,6,1,2,S,Alabama,73,208,4.58,11,33,119,7.16,4.16
2019,Ha Ha Clinton-Dix,CHI,27,2,5,0,0,S,Alabama,73,208,4.58,11,33,119,7.16,4.16
2016,Corey Graham,BUF,31,1,9,1,1,CB,New Hampshire,72,195,4.42,10,,114,7,4
2017,Corey Graham,PHI,32,2,4,0,0,CB,New Hampshire,72,195,4.42,10,,114,7,4
2018,Corey Graham,PHI,33,1,5,0,0,CB,New Hampshire,72,195,4.42,10,,114,7,4
2016,Von Miller,DEN,27,0,3,13.5,24,OLB,Texas A&M,75,246,4.42,21,37,126,6.7,4.06
2017,Von Miller,DEN,28,0,3,10,23,OLB,Texas A&M,75,246,4.42,21,37,126,6.7,4.06
2018,Von Miller,DEN,29,1,3,14.5,26,OLB,Texas A&M,75,246,4.42,21,37,126,6.7,4.06
2019,Von Miller,DEN,30,0,2,8,20,OLB,Texas A&M,75,246,4.42,21,37,126,6.7,4.06
2021,Von Miller,BUF,32,0,1,9.5,17,OLB,Texas A&M,75,246,4.42,21,37,126,6.7,4.06
2022,Von Miller,BUF,33,0,2,8,12,OLB,Texas A&M,75,246,4.42,21,37,126,6.7,4.06
2016,Ricardo Allen,ATL,25,2,3,0,0,CB,Purdue,69,187,4.61,13,35.5,117,7,4.15
2017,Ricardo Allen,ATL,26,1,2,0,0,CB,Purdue,69,187,4.61,13,35.5,117,7,4.15
2018,Ricardo Allen,ATL,27,1,3,0,0,CB,Purdue,69,187,4.61,13,35.5,117,7,4.15
2019,Ricardo Allen,ATL,28,2,8,0,0,CB,Purdue,69,187,4.61,13,35.5,117,7,4.15
2020,Ricardo Allen,ATL,29,2,5,0,0,CB,Purdue,69,187,4.61,13,35.5,117,7,4.15
2021,Ricardo Allen,CIN,30,0,0,0,0,CB,Purdue,69,187,4.61,13,35.5,117,7,4.15
2016,Vonn Bell,NO,22,0,4,1,4,S,Ohio State,71,199,4.52,16,,114,7,4
2017,Vonn Bell,NO,23,0,2,4.5,6,S,Ohio State,71,199,4.52,16,,114,7,4
2018,Vonn Bell,NO,24,0,3,1,3,S,Ohio State,71,199,4.52,16,,114,7,4
2019,Vonn Bell,NO,25,1,5,1.5,4,S,Ohio State,71,199,4.52,16,,114,7,4
2020,Vonn Bell,CIN,26,0,5,0,4,S,Ohio State,71,199,4.52,16,,114,7,4
2021,Vonn Bell,CIN,27,1,8,0.5,1,S,Ohio State,71,199,4.52,16,,114,7,4
2022,Vonn Bell,CIN,28,4,8,1,4,S,Ohio State,71,199,4.52,16,,114,7,4
2016,Barry Church,DAL,28,2,4,0,2,S,Toledo,73,222,4.69,19,36,121,6.65,4.17
2017,Barry Church,JAX,29,4,8,1.5,3,S,Toledo,73,222,4.69,19,36,121,6.65,4.17
2018,Barry Church,JAX,30,1,2,1,2,S,Toledo,73,222,4.69,19,36,121,6.65,4.17
2016,Ramik Wilson,KC,24,1,3,0,0,ILB,Georgia,74,237,4.77,23,35,111,7,4.51
2017,Ramik Wilson,KC,25,0,0,0,0,ILB,Georgia,74,237,4.77,23,35,111,7,4.51
2018,Ramik Wilson,LAR,26,0,2,0,0,ILB,Georgia,74,237,4.77,23,35,111,7,4.51
2016,Nick Bellore,SF,27,1,5,1,3,ILB,Central Michigan,73,245,4.84,23,32.5,109,6.98,4
2017,Nick Bellore,DET,28,0,0,0,0,ILB,Central Michigan,73,245,4.84,23,32.5,109,6.98,4
